occurrence_year,occurrence_date,occurrence_time,primary_offence,arrest_made,hour
2018,2018-01-03,12:00,Wilful Promotion of Hatred,NO,12
2018,2018-01-08,17:57,Assault,YES,17
2018,2018-01-10,21:45,Mischief Under $5000,NO,21
2018,2018-01-19,20:21,Mischief Under $5000,NO,20
2018,2018-01-19,18:00,Assault,NO,18
2018,2018-01-26,18:00,Mischief Under $5000,NO,18
2018,2018-01-27,11:58,Mischief Under $5000,NO,11
2018,2018-02-01,10:00,Uttering Threats - Bodily Harm,NO,10
2018,2018-02-01,01:27,Mischief Under $5000,NO,1
2018,2018-02-02,09:00,Mischief Under $5000,NO,9
2018,2018-02-05,12:57,Mischief Under $5000,NO,12
2018,2018-02-12,21:40,Assault,NO,21
2018,2018-02-13,06:00,Mischief Under $5000,NO,6
2018,2018-02-16,13:00,Uttering Threats - Bodily Harm,NO,13
2018,2018-02-17,17:55,Assault,NO,17
2018,2018-02-20,21:36,Mischief Under $5000,NO,21
2018,2018-02-21,09:00,Mischief Under $5000,NO,9
2018,2018-02-22,05:00,Mischief Under $5000,NO,5
2018,2018-02-23,16:10,Assault,YES,16
2018,2018-02-24,10:45,Mischief Under $5000,NO,10
2018,2018-02-27,09:43,Assault,YES,9
2018,2018-03-01,15:45,Criminal Harassment,NO,15
2018,2018-03-05,11:00,Mischief Interfere With Property,NO,11
2018,2018-03-06,07:00,Uttering Threats - Bodily Harm,NO,7
2018,2018-03-06,14:30,Uttering Threats - Bodily Harm,NO,14
2018,2018-03-09,19:00,Mischief Under $5000,NO,19
2018,2018-03-16,18:00,Mischief Under $5000,NO,18
2018,2018-03-22,06:20,Mischief Under $5000,NO,6
2018,2018-03-27,21:30,Mischief Interfere With Property,NO,21
2018,2018-03-28,13:45,Mischief Under $5000,NO,13
2018,2018-03-28,13:57,Uttering Threats - Bodily Harm,YES,13
2018,2018-04-08,16:00,"Mischief To Religious Property, Educational Institutions, Etc.",NO,16
2018,2018-04-12,08:12,Assault With a Weapon,YES,8
2018,2018-04-13,10:45,Criminal Harassment,NO,10
